schedule_id,device_id,start_time,end_time,action
1,MT01,2024-06-18 08:00:00,2024-06-18 10:00:00,Turn on
2,D001,2023-01-16 08:00:00,2023-01-16 09:00:00,Turn On
3,D002,2023-02-11 18:00:00,2023-02-11 18:30:00,Lock Front Door
4,D003,2023-03-21 10:00:00,2023-03-21 11:00:00,Start Recording
5,D001,2023-01-17 08:00:00,2023-01-17 09:00:00,Turn On
6,D002,2023-02-12 18:00:00,2023-02-12 18:30:00,Lock Front Door
7,D003,2023-03-22 10:00:00,2023-03-22 11:00:00,Start Recording
8,D001,2023-01-18 08:00:00,2023-01-18 09:00:00,Turn On
9,D002,2023-02-13 18:00:00,2023-02-13 18:30:00,Lock Front Door
10,D003,2023-03-23 10:00:00,2023-03-23 11:00:00,Start Recording
11,D001,2023-01-19 08:00:00,2023-01-19 09:00:00,Turn On
12,D002,2023-02-14 18:00:00,2023-02-14 18:30:00,Lock Front Door
13,D003,2023-03-24 10:00:00,2023-03-24 11:00:00,Start Recording
14,D001,2023-01-20 08:00:00,2023-01-20 09:00:00,Turn On
15,D002,2023-02-15 18:00:00,2023-02-15 18:30:00,Lock Front Door
16,D003,2023-03-25 10:00:00,2023-03-25 11:00:00,Start Recording
17,D001,2023-01-21 08:00:00,2023-01-21 09:00:00,Turn On
18,D002,2023-02-16 18:00:00,2023-02-16 18:30:00,Lock Front Door
19,D003,2023-03-26 10:00:00,2023-03-26 11:00:00,Start Recording
20,D001,2023-01-22 08:00:00,2023-01-22 09:00:00,Turn On
21,D002,2023-02-17 18:00:00,2023-02-17 18:30:00,Lock Front Door
22,D003,2023-03-27 10:00:00,2023-03-27 11:00:00,Start Recording
23,D001,2023-01-23 08:00:00,2023-01-23 09:00:00,Turn On
24,D002,2023-02-18 18:00:00,2023-02-18 18:30:00,Lock Front Door
25,D003,2023-03-28 10:00:00,2023-03-28 11:00:00,Start Recording
26,D001,2023-01-24 08:00:00,2023-01-24 09:00:00,Turn On
27,D002,2023-02-19 18:00:00,2023-02-19 18:30:00,Lock Front Door
28,D003,2023-03-29 10:00:00,2023-03-29 11:00:00,Start Recording
29,D001,2023-01-25 08:00:00,2023-01-25 09:00:00,Turn On
